Ch1,Ch2,Cluster,droplet
3885.206,7401.227,1,850
3995.184,8040.606,1,851
3844.811,7585.417,1,852
4012.334,8056.849,1,853
4530.353,7379.263,1,854
10750.27,2061.825,10,855
10800.3,2169.675,10,856
4021.902,8156.951,1,857
10571.06,7706.119,11,858
4156.623,6990.44,1,859
3954.096,7994.039,1,860
3938.104,7978.153,1,861
11316.43,7973.124,11,862
4040.076,7897.587,1,863
4096.283,2184.543,0,864
3996.797,7237.517,1,865
11097.81,7472.914,11,866
11211.02,8057.186,11,867
3931.344,7648.281,1,868
11401.07,8129.06,11,869
3863.854,7524.511,1,870
10864.54,7617.865,11,871
3925.352,7686.009,1,872
10882.72,7634.74,11,873
4078.859,2074.223,0,874
11428.84,8180.724,11,875
10943.32,7657.677,11,876
4025.136,8028.035,1,877
10606.77,7331.269,11,878
4047.095,2175.49,0,879
11150.95,8247.447,11,880
10695.47,7354.548,11,881
11133.58,6973.066,11,882
4031.912,2759.96,0,883
3876.882,7443.078,1,884
4298.686,7624.863,1,885
3909.764,7457.1,1,886
3921.15,7714.431,1,887
11422.05,7954.441,11,888
4030.449,7993.355,1,889
4164.499,7514.293,1,890
11159.22,7624.33,11,891
4016.806,7604.816,1,892
11185.56,2164.317,10,893
3936.015,7646.705,1,894
3856.503,7916.557,1,895
10850.21,7352.592,11,896
4191.189,7589.611,1,897
3995.261,7399.461,1,898
4250.379,7392.03,1,899
4134.211,2018.496,0,900
4343.499,7744.34,1,901
11809.39,8689.793,11,902
11080.07,7336.676,11,903
4108.509,7375.169,1,904
4037.463,7608.29,1,905
4235.98,7658.762,1,906
11021.78,7319.362,11,907
11234.2,7451.491,11,908
11349.11,7632.927,11,909
10735.82,7358.267,11,910
10922.99,7244.378,11,911
4050.333,2099.195,0,912
10975.33,7473.209,11,913
10921.39,1966.994,10,914
12014.71,8366.636,11,915
3909.54,7067.644,1,916
3909.288,7512.236,1,917
4057.932,6888.719,1,918
3980.926,8734.753,1,919
3962.918,8505.347,1,920
4031.903,7519.417,1,921
10983.09,7637.018,11,922
10982.74,7643.916,11,923
3899.692,8313.192,1,924
3962.86,7459.101,1,925
10999.07,7769.865,11,926
10817.55,7748.998,11,927
10994.85,7790.648,11,928
11058.79,7673.541,11,929
3974.783,7547.122,1,930
4053.119,7472.525,1,931
11246.9,2094.323,10,932
11023.08,2105.27,10,933
3952.756,8212.677,1,934
11660.26,8094.201,11,935
3929.637,7243.062,1,936
3964.83,7969,1,937
3893.878,7665.141,1,938
3928.693,7620.218,1,939
4068.698,2120.439,0,940
4030.376,8070.546,1,941
10908.85,7588.622,11,942
10596.64,7690.371,11,943
11327.44,7961.799,11,944
3957.413,7978.464,1,945
11196.32,7877.309,11,946
3895.295,7580.433,1,947
3950.685,7208.82,1,948
10872.71,1960.679,10,949
11021.04,2213.227,10,950
11377.98,7855.993,11,951
3923.494,8105.328,1,952
10598.66,7468.181,11,953
11119.22,8081.979,11,954
3890.685,7545.044,1,955
4106.727,2046.977,0,956
11097.99,2070.954,10,957
11512.02,8173.498,11,958
3961.021,7415.055,1,959
3944.361,8226.012,1,960
10514.64,7589.759,11,961
4090.372,7625.184,1,962
3987.442,8119.43,1,963
3869.214,7636.058,1,964
3979.65,7825.919,1,965
10888.8,7629.858,11,966
11546.58,8286.233,11,967
4289.902,2200.907,0,968
4355.594,7908.288,1,969
4176.424,2032.911,0,970
10579.35,7672.708,11,971
10886.92,7217.593,11,972
10865.4,7766.085,11,973
11030.51,8066.887,11,974
11628.08,8000.366,11,975
3917.715,7418.262,1,976
3963.64,7789.036,1,977
10512.42,7464.957,11,978
4010.748,7357.371,1,979
3900.324,7654.963,1,980
3926.533,7092.756,1,981
3942.922,7607.671,1,982
4353.677,7391.81,1,983
10258.66,7379.964,11,984
3946.568,7592.559,1,985
10718.55,7951.191,11,986
10714.38,7696.458,11,987
11075.83,7418.053,11,988
4232.754,7336.452,1,989
11131.57,7344.76,11,990
11246.54,7905.263,11,991
4007.892,7438.75,1,992
4115.123,7971.662,1,993
11604.29,8190.805,11,994
